Result,Count
PDF/Phishing.4BCA!tr,1590
PDF/Phishing.818B!tr,1428
PDF/FakeRobot.EC81!tr,293
PDF/Phishing.0931!tr,110
PDF/Phishing.F2A6!tr,103
PDF/Phish.5E08!tr,58
PDF/Phishing.A!tr,57
PDF/Phish.8A00!tr,56
PDF/Phish.6104!tr,22
PDF/Phish.D74D!tr,4
PDF/Alien.A480!tr,2
PDF/Phishing.938C!tr,1
PDF/UrlMal.C75F!tr,1
