Result,Count
None,3138
Trojan:Script/Wacatac.B!ml,454
Trojan:Script/Sabsik.FL.B!ml,110
Trojan:Win32/Ditertag.A,10
Trojan:PDF/Phish!rfn,3
Trojan:Win32/Ursnif!ml,2
Trojan:Win32/Vigorf.A,2
Program:Win32/Uwamson.A!ml,1
Trojan:PDF/Phish.CFN!MTB,1
Trojan:Win32/Bitrep.B,1
Trojan:Win32/PhishLeonem,1
Trojan:Win32/Phonzy.B!ml,1
Trojan:Win32/Phonzy.C!ml,1
