Result,Count
PDF.Trojan-Stealer.Phishing.E,3430
PDF.Trojan-Stealer.Phish.HW,204
None,85
PDF.Trojan-Stealer.Phish.HY,1
PDF.Trojan.Agent.EES4H0,1
PDF.Trojan.Agent.F5UZ07,1
PDF.Trojan.Agent.G0P45J,1
Trojan.GenericKD.71814051,1
Trojan.GenericKD.74002949,1
