Result,Count
PDF/Gerphish.N.gen!Camelot,1913
PDF/Phish.U.gen!Camelot,1072
None,370
PDF/Gerphish.J.gen!Camelot,111
PDF/Rbloxphish.A.gen!Camelot,100
URL/Phish.BO.gen!Eldorado,93
URL/Agent.X.gen!Eldorado,20
PDF/Captchaphish.D.gen!Camelot,15
URL/Phish.Q.gen!Eldorado,13
URL/Phish.C.gen!Eldorado,6
URL/Phish.HCI.gen!Eldorado,4
PDF/Gerphish.C.gen!Camelot,3
URL/Phish.U.gen!Eldorado,3
URL/Gerphish.Y.gen!Eldorado,2
