Result,Count
None,3224
Trojan.PDF.Phishing.4!c,293
Hacktool.PDF.Phish.3!c,166
Trojan.PDF.Alien.4!c,23
Trojan.PDF.Generic.O!c,16
Hacktool.PDF.Agent.3!c,1
Trojan.PDF.Phish.4!c,1
Trojan.Script.Generic.4!c,1
