Result,Count
Trojan.PDF.Phishing,3332
Phishing.PDF.Doc,281
None,59
Spammed.PDF.Doc,46
Trojan.PDF.Phish,4
Exploit.YAV.Minerva,2
Phishing.HTML.Doc,1
