Result,Count
None,3277
malware (ai score=84),55
malware (ai score=80),50
malware (ai score=87),50
malware (ai score=86),49
malware (ai score=83),46
malware (ai score=88),45
malware (ai score=81),44
malware (ai score=82),41
malware (ai score=85),30
malware (ai score=89),30
malware (ai score=73),3
malware (ai score=75),2
malware (ai score=76),2
malware (ai score=71),1
