Result,Count
PDF/Phishing.Agent.NDP,3112
PDF/Phishing.A.Gen,331
PDF/Phishing.Agent.NFB,170
None,107
PDF/Phishing.Agent.NES,4
PDF/Phishing.Agent.OJW,1
