filename,ALYac,AVG,Ad-Aware,AhnLab-V3,Antiy-AVL,Arcabit,Avast,Avast-Mobile,Avira,Baidu,BitDefender,BitDefenderTheta,Bkav,CAT-QuickHeal,CMC,ClamAV,Comodo,Cylance,Cyren,DrWeb,ESET-NOD32,Emsisoft,F-Prot,F-Secure,FireEye,Fortinet,GData,Ikarus,Jiangmin,K7AntiVirus,K7GW,Kaspersky,Kingsoft,Lionic,MAX,Malwarebytes,MaxSecure,McAfee,McAfee-GW-Edition,MicroWorld-eScan,Microsoft,NANO-Antivirus,Panda,Qihoo-360,Rising,SUPERAntiSpyware,Sangfor,SentinelOne,Sophos,Symantec,TACHYON,Tencent,TotalDefense,TrendMicro,TrendMicro-HouseCall,VBA32,VIPRE,ViRobot,Yandex,Zillya,ZoneAlarm,Zoner
VirusShare_01c3f875fc92d78be01dc64a70c8e6da.json,,PDF:UrlMal-inf [Trj],,,,,PDF:UrlMal-inf [Trj],,,,,,,,,,,,,,,,,,,,,,,,,,,Trojan.PDF.Generic.O!c,,,,,,,,,,Generic/Trojan.URL.7e5,,,,,,,,,,,,,,,,,,
VirusShare_0a38fa3af62329c66271c52344594b62.json,,,,,,,,,,,,,,Exp.CVE-2018-4990.39642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
