Filename,Category,Phishing_Count,Trojan_Count,Spam_Count,Other_Count,None_Count
VirusShare_01c3f875fc92d78be01dc64a70c8e6da.json,Trojan,0,2,0,2,58
VirusShare_0a38fa3af62329c66271c52344594b62.json,Other,0,0,0,1,61
